002056横店东磁,2022-04-08,0.05,0.03,0.06
600255鑫科材料,2022-04-08,0.05,0.05,0.07
002312川发龙蟒,2022-04-08,0.05,0.04,0.11
605318法狮龙,2022-04-08,0.05,0.05,0.07
600162香江控股,2022-04-08,0.05,0.06,0.08
600596新安股份,2022-04-08,0.05,0.05,0.07
002648卫星化学,2022-04-08,0.05,0.05,0.06
603616韩建河山,2022-04-08,0.05,0.03,0.09
000902新洋丰,2022-04-08,0.05,0.04,0.09
000425徐工机械,2022-04-08,0.05,0.03,0.05
600491龙元建设,2022-04-08,0.04,0.03,0.04
601186中国铁建,2022-04-08,0.04,0.02,0.03
002285世联行,2022-04-08,0.04,0.06,0.08
600169太原重工,2022-04-08,0.04,0.04,0.06
603948建业股份,2022-04-08,0.04,0.05,0.08
600691阳煤化工,2022-04-08,0.04,0.03,0.07
002537海联金汇,2022-04-08,0.04,0.05,0.09
603360百傲化学,2022-04-08,0.04,0.05,0.06
000514渝 开 发,2022-04-08,0.04,0.05,0.11
600094大名城,2022-04-08,0.04,0.03,0.08
601390中国中铁,2022-04-08,0.04,-0.0,0.05
002883中设股份,2022-04-08,0.04,0.03,0.06
000959首钢股份,2022-04-08,0.04,0.04,0.06
000897津滨发展,2022-04-08,0.04,0.07,0.09
601618中国中冶,2022-04-08,0.04,0.04,0.04
600170上海建工,2022-04-08,0.04,0.04,0.05
600358国旅联合,2022-04-08,0.04,0.05,0.08
600618氯碱化工,2022-04-08,0.04,0.04,0.05
603388元成股份,2022-04-08,0.04,0.04,0.05
002245蔚蓝锂芯,2022-04-08,0.04,0.03,0.07
605389长龄液压,2022-04-08,0.04,0.04,0.06
603810丰山集团,2022-04-08,0.04,0.02,0.04
603505金石资源,2022-04-08,0.04,0.04,0.05
601225陕西煤业,2022-04-08,0.04,0.02,0.04
002116中国海诚,2022-04-08,0.04,0.04,0.06
002180纳思达,2022-04-08,0.04,0.03,0.07
600477杭萧钢构,2022-04-08,0.04,0.05,0.06
001267汇绿生态,2022-04-08,0.04,0.04,0.04
605598上海港湾,2022-04-08,0.04,0.05,0.05
601868中国能建,2022-04-08,0.04,0.04,0.04
002608江苏国信,2022-04-08,0.04,0.03,0.07
600039四川路桥,2022-04-08,0.04,0.03,0.04
600444国机通用,2022-04-08,0.04,0.05,0.16
001217华尔泰,2022-04-08,0.04,0.04,0.08
603018华设集团,2022-04-08,0.04,0.04,0.06
601117中国化学,2022-04-08,0.04,0.03,0.05
